#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE36E8
#Date Time: 2020-09-09 12:03:42.989
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.005119347826086957,-0.680388443827866,0.006409046887135509
-0.005118097826086957,-0.6753995928853885,0.006073755331289589
-0.005116847826086957,-0.6694129717544126,0.006073755331289894
-0.005115597826086957,-0.6630937605606106,0.006744338442981428
-0.005114347826086957,-0.6577723195553014,0.007079629998827349
-0.005113097826086957,-0.6517856984243284,0.007079629998827349
-0.005111847826086957,-0.6457990772933554,0.006744338442981428
-0.005110597826086957,-0.6401450462252168,0.006744338442981428
-0.005109347826086957,-0.6338258350314094,0.006744338442981428
-0.005108097826086956,-0.6271740337747698,0.007079629998827349
-0.005106847826086957,-0.6205222325181361,0.007079629998827349
-0.005105597826086957,-0.6148682014499918,0.007079629998827501
-0.005104347826086957,-0.6078838101305265,0.007414921554673269
-0.005103097826086957,-0.6022297790623854,0.006744338442981428
-0.005101847826086957,-0.5972409281199078,0.007414921554673269
-0.005100597826086957,-0.5905891268632713,0.007414921554673269
-0.005099347826086957,-0.583604735543806,0.007079629998827501
-0.005098097826086957,-0.5779507044756615,0.007414921554673269
-0.005096847826086956,-0.5716314932818535,0.007750213110519493
-0.005095597826086957,-0.5643145118995564,0.008420796222211029
-0.005094347826086957,-0.5589930708942438,0.008420796222210876
-0.005093097826086957,-0.5516760895119468,0.008085504666365109
-0.005091847826086957,-0.5446916981924783,0.008756087778056948
-0.005090597826086957,-0.5387050770615082,0.008420796222211181
-0.005089347826086957,-0.5320532758048687,0.008420796222211029
