#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE36B6
#Date Time: 2020-09-09 11:00:31.832
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 5 kHz
#Period: 200 us
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.005119583333333334,0.5788684376443588,0.2988881559440056
-0.005118333333333333,0.5453999017584292,0.301905600502668
-0.005117083333333333,0.5122627375149189,0.3042525018260735
-0.005115833333333333,0.4781314583441349,0.3072699463847345
-0.005114583333333333,0.4430060642460305,0.3086110328552512
-0.005113333333333333,0.4072179268630562,0.3102873909433969
-0.005112083333333333,0.371098417837647,0.3112932057962844
-0.005110833333333334,0.3343161655273846,0.3119637490315424
-0.005109583333333333,0.2968711699322188,0.3112932057962844
-0.005108333333333333,0.259757545979487,0.3109579341786546
-0.005107083333333333,0.220655692172181,0.3096168477081386
-0.005105833333333333,0.1822165816497094,0.3079404896199918
-0.005104583333333333,0.1431147278424034,0.3055935882965887
-0.005103333333333333,0.1046756173199496,0.3035819585908138
-0.005102083333333333,0.06557376351262581,0.3005645140321514
-0.005100833333333333,0.02547779477799722,0.297547069473489
-0.005099583333333334,-0.01395543067174354,0.293188538444312
-0.005098333333333333,-0.05372002776395512,0.2891652790327601
-0.005097083333333333,-0.09215913828642706,0.2848067480035786
-0.005095833333333333,-0.1319237353786026,0.2794424021215146
-0.005094583333333333,-0.1710255891859437,0.2737427846218162
-0.005093333333333333,-0.2091333280659453,0.2677078955044941
-0.005092083333333333,-0.2472410669459642,0.261002463151911
-0.005090833333333333,-0.2853488058259658,0.2539617591817019
-0.005089583333333333,-0.3231251730635671,0.2465857835938573
-0.005088333333333334,-0.3605701686586991,0.2388745363883902
-0.005087083333333333,-0.3963583060416904,0.2308280175652869
-0.005085833333333333,-0.4324778150671156,0.2227814987421832
-0.005084583333333333,-0.467603209165204,0.2140644366838291
-0.005083333333333333,-0.5023972316208734,0.2053473746254711
-0.005082083333333333,-0.5355343958643681,0.1956244977142255
-0.005080833333333333,-0.5690029317502977,0.18590162080298
-0.005079583333333334,-0.6008146094240382,0.1765140155093679
-0.005078333333333333,-0.6322949154553726,0.1657853237452306
-0.005077083333333334,-0.6621183632745044,0.1553919035987315
-0.005075833333333333,-0.6909476961663582,0.1446632118345938
-0.005074583333333333,-0.718782914130906,0.1339345200704555
-0.005073333333333333,-0.7456240171681245,0.1222000134534403
-0.005072083333333333,-0.7714710052780503,0.110800778454049
-0.005070833333333333,-0.7959925068182364,0.09906627183702857
-0.005069583333333333,-0.8198512650735527,0.08766703683763727
-0.005068333333333334,-0.8413904218318145,0.07626780183825116
-0.005067083333333333,-0.8616040920203559,0.06386275198596719
-0.005065833333333333,-0.8814863905664608,0.05212824536894124
-0.005064583333333333,-0.8990490876155049,0.04005846713429711
-0.005063333333333333,-0.9156176697372596,0.02731814566438384
-0.005062083333333333,-0.9315235085741298,0.01558363904736871
-0.005060833333333333,-0.9457724891988325,0.003178589195089937
-0.005059583333333333,-0.9577018683264906,-0.008891189039559683
-0.005058333333333333,-0.9686371325268439,-0.0209609672742093
-0.005057083333333334,-0.9769214235877138,-0.03303074550885343
-0.005055833333333333,-0.9855370862910262,-0.04577106697876685
-0.005054583333333333,-0.9918331474972923,-0.05817611683105112
-0.005053333333333333,-0.9968037221338144,-0.07024589506569526
-0.005052083333333333,-1.000117438558165,-0.08164513006509175
-0.005050833333333333,-1.002437040055209,-0.09304436506447786
-0.005049583333333333,-1.002437040055209,-0.1044436000638692
-0.005048333333333333,-1.000780181843034,-0.1161781066808843
-0.005047083333333333,-0.9981292087035541,-0.1279126132979101
-0.005045833333333334,-0.993490005709467,-0.1389765766796672
-0.005044583333333333,-0.9878566877880708,-0.1497052684438052
-0.005043333333333333,-0.9802351400120629,-0.1604339602079431
-0.005042083333333333,-0.9712881056663235,-0.1711626519720712
-0.005040833333333333,-0.9610155847508401,-0.1812208005009459
-0.005039583333333333,-0.948754833980747,-0.1909436774121914
-0.005038333333333333,-0.9358313399257842,-0.200666554323437
-0.005037083333333334,-0.9205882443737834,-0.2097188879994201
-0.005035833333333333,-0.904682405536899,-0.2187712216754114
-0.005034583333333334,-0.8871197084878549,-0.2274882837337655
-0.005033333333333333,-0.86790015322662,-0.2355348025568692
-0.005032083333333333,-0.8476864830380783,-0.2432460497623433
-0.005030833333333333,-0.8258159546373817,-0.2509572969678104
-0.005029583333333333,-0.8032826829518053,-0.2576627293203935
-0.005028333333333333,-0.7780984381267493,-0.2640328900553475
-0.005027083333333333,-0.7535769365865632,-0.2710735940255597
-0.005025833333333334,-0.7264044619069099,-0.2771084831428818
-0.005024583333333333,-0.6982378722999271,-0.2828081006425802
-0.005023333333333333,-0.6713967692626825,-0.2878371749070194
-0.005022083333333333,-0.6409105781586812,-0.2918604343185674
-0.005020833333333333,-0.6097616437697819,-0.2968895085830062
-0.005019583333333333,-0.5782813377384762,-0.2999069531416672
-0.005018333333333333,-0.5461382884222864,-0.3032596693179587
-0.005017083333333333,-0.5126697525363567,-0.3062771138766212
-0.005015833333333333,-0.4772129867958175,-0.3086240152000252
-0.005014583333333334,-0.4427503359825986,-0.3106356449057993
-0.005013333333333333,-0.4066308269571737,-0.3113061881410585
-0.005012083333333333,-0.3711740612166177,-0.3123120029939461
-0.005010833333333333,-0.3343918089063553,-0.3126472746115751
-0.005009583333333333,-0.2969468133111889,-0.3129825462292038
-0.005008333333333333,-0.2588390744311874,-0.3119767313763168
-0.005007083333333333,-0.2210627071936034,-0.3113061881410585
-0.005005833333333333,-0.1826235966711495,-0.3099651016705419
-0.005004583333333333,-0.1441844861486957,-0.3079534719647669
-0.005003333333333334,-0.1047512606989549,-0.3052712990237349
-0.005002083333333333,-0.06498666360674332,-0.3022538544650712
-0.005000833333333333,-0.02555343815696669,-0.299236409906407
-0.004999583333333333,0.01387978729277408,-0.295213150494859
-0.004998333333333333,0.05331301274253278,-0.29085461946568
-0.004997083333333333,0.09208349490742157,-0.2858255452012426
-0.004995833333333333,0.1311853487147454,-0.2804611993191761
-0.004994583333333334,0.1702872025220513,-0.274426310201854
-0.004993333333333333,0.2093890563293928,-0.2683914210845265
-0.004992083333333334,0.2474967952093944,-0.2620212603495754
-0.004990833333333333,0.2852731624469957,-0.2553158279969894
-0.004989583333333333,0.3227181580421616,-0.2482751240267736
-0.004988333333333333,0.3598317819948588,-0.2405638768213065
-0.004987083333333333,0.395951291020268,-0.2325173579982068
-0.004985833333333333,0.4320708000456772,-0.224470839175107
-0.004984583333333333,0.4681903090710864,-0.2160890487343781
-0.004983333333333334,0.5019902165994358,-0.206701443440766
-0.004982083333333333,0.5354587524853808,-0.1976491097647746
-0.004980833333333333,0.5682645450864552,-0.1875909612358953
-0.004979583333333333,0.6004075944026304,-0.1775328127070252
-0.004978333333333333,0.6315565287915289,-0.1671393925605168
-0.004977083333333333,0.6613799766106606,-0.1570812440316467
-0.004975833333333333,0.690209309502501,-0.1463525522675137
-0.004974583333333333,0.7180445274670366,-0.1346180456504932
-0.004973333333333333,0.7448856305042673,-0.1238893538863602
-0.004972083333333334,0.7707326186141814,-0.1128253905046031
-0.004970833333333333,0.7959168634392492,-0.1007556122699484
-0.004969583333333333,0.819112878409705,-0.08935637727055165
-0.004968333333333333,0.8399892918830971,-0.07728659903590754
-0.004967083333333333,0.860865705356508,-0.06588736403651071
-0.004965833333333333,0.8810793755450306,-0.0538175858018666
-0.004964583333333333,0.8986420725940827,-0.04074199271432951
-0.004963333333333333,0.9148792830733952,-0.02900748609730905
-0.004962083333333333,0.9304537502678376,-0.01693770786265943
-0.004960833333333334,0.9443713592500991,-0.004867929628015298
-0.004959583333333333,0.9566321100201984,0.007201848606639811
-0.004958333333333333,0.9675673742205561,0.01960689845892407
-0.004957083333333333,0.9771771518511652,0.0316766766935682
-0.004955833333333333,0.9851300712696039,0.04374645492821783
-0.004954583333333333,0.9914261324758679,0.0561515047804966
-0.004953333333333333,0.9954025921850873,0.06788601139751707
-0.004952083333333334,0.99904768025187,0.08029106124979021
-0.004950833333333333,1.000704538464047,0.09202556786681632
-0.004949583333333334,1.001035910106481,0.1037600744838314
-0.004948333333333333,0.9993790518943066,0.1151593094832281
-0.004947083333333333,0.9970594503972598,0.1265585444826244
-0.004945833333333333,0.9924202474031727,0.1376225078643815
-0.004944583333333333,0.9867869294817786,0.1480159280108854
-0.004943333333333333,0.9791653817057748,0.1587446197750184
-0.004942083333333333,0.9702183473600313,0.1691380399215222
-0.004940833333333334,0.9599458264445526,0.1791961884503923
-0.004939583333333333,0.9480164473168898,0.1895896085969007
-0.004938333333333334,0.9340988383346284,0.1986419422728838
-0.004937083333333333,0.9195184860674844,0.2080295475665043
-0.004935833333333333,0.9029499039457295,0.2167466096248665
-0.004934583333333333,0.8863813218239897,0.2257989433008496
-0.004933333333333333,0.8671617665627628,0.2341807337415785
-0.004932083333333333,0.846948096374231,0.2422272525646783
-0.004930833333333333,0.8254089396159594,0.2496032281525197
-0.004929583333333334,0.8025442962879585,0.2563086605050998
-0.004928333333333333,0.7786855380326319,0.2630140928576859
-0.004927083333333333,0.7528385499226942,0.2687137103573846
-0.004925833333333333,0.7266601901703452,0.2754191427099647
-0.004924583333333333,0.6988249722057965,0.2811187602096626
-0.004923333333333333,0.6699956393139692,0.2861478344740977
-0.004922083333333333,0.6401721914948241,0.2905063655032767
-0.004920833333333333,0.6096860003908089,0.2945296249148266
-0.004919583333333333,0.5788684376443588,0.2985528843263764
-0.004918333333333334,0.5463940166857488,0.3019056005026665
-0.004917083333333333,0.5115999942300645,0.3049230450613304
-0.004915833333333333,0.478462829986554,0.3062641315318478
-0.004914583333333333,0.4436688075309004,0.3079404896199928
-0.004913333333333333,0.4072179268630396,0.3099521193257679
-0.004912083333333333,0.370767046195212,0.3102873909433969
-0.004910833333333333,0.3343161655273679,0.3106226625610261
-0.004909583333333334,0.2962084266473662,0.3112932057962841
-0.004908333333333333,0.2590948026946349,0.3109579341786552
-0.004907083333333334,0.2216498070995029,0.3099521193257682
-0.004905833333333333,0.1825479532921621,0.308275761237622
-0.004904583333333333,0.1434460994848206,0.3062641315318457
-0.004903333333333333,0.1043442456775146,0.3032466869731846
-0.004902083333333333,0.06491102022775591,0.3002292424145223
-0.004900833333333333,0.02547779477799722,0.2968765262382307
-0.004899583333333333,-0.01395543067176148,0.29318853844431
-0.004898333333333334,-0.05405139940637184,0.2884947357975039
-0.004897083333333333,-0.09249050992884393,0.2838009331506936
-0.004895833333333334,-0.1319237353785847,0.2791071305038875
-0.004894583333333333,-0.1713569608283613,0.2730722413865606
-0.004893333333333333,-0.2097960713508327,0.2673726238868617
-0.004892083333333333,-0.248235181873269,0.2603319199166527
-0.004890833333333333,-0.2856801774684181,0.2536264875640695
-0.004889583333333333,-0.323456544706002,0.2469210552114864
-0.004888333333333333,-0.3605701686587161,0.2392098080060158
-0.004887083333333334,-0.3966896776841089,0.2308280175652907
-0.004885833333333333,-0.4321464434246647,0.2231167703598163
-0.004884583333333333,-0.4676032091652196,0.2143997083014542
-0.004883333333333333,-0.5020658599784384,0.2053473746254711
-0.004882083333333333,-0.5355343958643832,0.1956244977142211
-0.004880833333333333,-0.5686715601078628,0.18590162080298
-0.004879583333333333,-0.6004832377816177,0.1755082006564762
-0.004878333333333333,-0.6319635438129377,0.1657853237452306
-0.004877083333333333,-0.6617869916320829,0.1550566319810976
-0.004875833333333334,-0.690947696166345,0.1436573969817115
-0.004874583333333333,-0.7197770290581986,0.1329287052175734
-0.004873333333333333,-0.7462867604530058,0.1222000134534351
-0.004872083333333333,-0.7714710052780503,0.110800778454049
-0.004870833333333333,-0.7956611351758124,0.09906627183702338
-0.004869583333333333,-0.8195198934311178,0.08766703683763727
-0.004868333333333333,-0.8410590501893893,0.0759325302206168
-0.004867083333333334,-0.8622668353052162,0.06386275198597269
-0.004865833333333333,-0.8818177622088877,0.05179297375131757
-0.004864583333333334,-0.8997118309003668,0.03972319551667344
-0.004863333333333333,-0.9162804130221223,0.02765341728201833
-0.004862083333333333,-0.9321862518590061,0.01524836742973422
-0.004860833333333333,-0.9461038608412675,0.003513860812719094
-0.004859583333333333,-0.9580332399689255,-0.009226460657188839
-0.004858333333333333,-0.9692998758117137,-0.02163151050946761
-0.004857083333333333,-0.9779155385150224,-0.03370128874411724
-0.004855833333333334,-0.9858684579334575,-0.04543579536113236
-0.004854583333333333,-0.9934900057094649,-0.05817611683104563
-0.004853333333333334,-0.9974664654186824,-0.06991062344806076
-0.004852083333333333,-1.000117438558164,-0.08164513006508656
-0.004850833333333333,-1.001774296770339,-0.09371490829974136
-0.004849583333333333,-1.002768411697643,-0.1051141432991275
-0.004848333333333333,-1.001774296770339,-0.1168486499161479
-0.004847083333333333,-0.9987919519884241,-0.1282478849155392
-0.004845833333333333,-0.9948154922792047,-0.1393118482973014
-0.004844583333333334,-0.9888508027153783,-0.1503758116790585
-0.004843333333333333,-0.9805665116545019,-0.1611045034431965
-0.004842083333333333,-0.9719508489511887,-0.1711626519720758
-0.004840833333333333,-0.96167832803571,-0.1812208005009459
-0.004839583333333333,-0.9497489489080461,-0.1912789490298252
-0.004838333333333333,-0.936825454853089,-0.2013370975586953
-0.004837083333333333,-0.9215823593010813,-0.2103894312346825
-0.004835833333333333,-0.905345148821769,-0.2194417649106697
-0.004834583333333333,-0.8874510801302818,-0.2281588269690278
-0.004833333333333334,-0.8679001532266288,-0.2358700741744948
-0.004832083333333333,-0.8483492263229581,-0.2439165929975981
-0.004830833333333333,-0.826478697922241,-0.2516278402030717
-0.004829583333333333,-0.8032826829518053,-0.2583332725556518
-0.004828333333333333,-0.7790925530540428,-0.2650387049082378
-0.004827083333333333,-0.7542396798714331,-0.2714088656431889
-0.004825833333333333,-0.7270672051917675,-0.2774437547605137
-0.004824583333333334,-0.6995633588696795,-0.2828081006425778
-0.004823333333333333,-0.6710653976202614,-0.2881724465246467
-0.004822083333333334,-0.6415733214435646,-0.2921957059361948
-0.004820833333333333,-0.611418501981971,-0.2968895085830048
-0.004819583333333333,-0.579275452665766,-0.3005774963769269
-0.004818333333333333,-0.5461382884222864,-0.3035949409355879
-0.004817083333333333,-0.5133324958212266,-0.3066123854942503
-0.004815833333333333,-0.4785384733655573,-0.3089592868176544
-0.004814583333333333,-0.442750335982583,-0.3106356449058001
-0.004813333333333334,-0.4079563135269293,-0.3123120029939452
-0.004812083333333333,-0.3718368045015043,-0.3126472746115751
-0.004810833333333334,-0.3347231805488071,-0.3133178178468332
-0.004809583333333333,-0.2976095565960762,-0.3133178178468334
-0.004808333333333333,-0.259170446073605,-0.3129825462292038
-0.004807083333333333,-0.2210627071936034,-0.3119767313763168
-0.004805833333333333,-0.1826235966711495,-0.3099651016705419
-0.004804583333333333,-0.1445158577911306,-0.3082887435823961
-0.004803333333333333,-0.104751260698937,-0.305941842258992
-0.004802083333333334,-0.06598077853406581,-0.302924397700331
-0.004800833333333333,-0.02654755308428946,-0.2992364099064089
-0.004799583333333333,0.01354841565035691,-0.2952131504948571
-0.004798333333333333,0.05265026945766288,-0.2911898910833091
-0.004797083333333333,0.09142075162257007,-0.2864960884364987
-0.004795833333333333,0.1318480919996152,-0.2814670141720636
-0.004794583333333333,0.170618574164504,-0.2761026682899971
-0.004793333333333333,0.2090576846869579,-0.2690619643197848
-0.004792083333333333,0.2478281668518467,-0.2633623468200891
-0.004790833333333334,0.2852731624469786,-0.2563216428498801
-0.004789583333333333,0.3230495296845797,-0.2489456672620354
-0.004788333333333333,0.3598317819948754,-0.2412344200565612
-0.004787083333333333,0.396282662662703,-0.2331879012334651
-0.004785833333333333,0.4317394284032584,-0.2251413824103614
-0.004784583333333333,0.4671961941437816,-0.2164243203520073
-0.004783333333333333,0.5009961016721463,-0.2073719866760201
-0.004782083333333333,0.5354587524853651,-0.197984381382408
-0.004780833333333333,0.5685959167288754,-0.1875909612358999
-0.004779583333333334,0.5997448511177463,-0.1775328127070298
-0.004778333333333333,0.6312251571490805,-0.1678099357957797
-0.004777083333333333,0.6613799766106736,-0.1570812440316419
-0.004775833333333333,0.6898779378600661,-0.1466878238851428
-0.004774583333333333,0.7180445274670366,-0.1356238605033807
-0.004773333333333333,0.7448856305042673,-0.1248951687392477
-0.004772083333333333,0.7707326186141932,-0.1131606621222272
-0.004770833333333334,0.7949227485119333,-0.1014261555052121
-0.004769583333333333,0.8184501351248256,-0.09002692050581546
-0.004768333333333334,0.8406520351679569,-0.07896295712405832
-0.004767083333333333,0.8611970769989337,-0.06622263565414538
-0.004765833333333333,0.8800852606177342,-0.0534823141842321
-0.004764583333333333,0.8986420725940827,-0.04174780756721698
-0.004763333333333333,0.9152106547158301,-0.0293427577149382
-0.004762083333333333,0.9301223786254027,-0.01727297948028858
-0.004760833333333333,0.9440399876076705,-0.005203201245638965
-0.004759583333333334,0.9556379950928884,0.00720184860663417
-0.004758333333333333,0.9672360025781168,0.01994217007654774
-0.004757083333333333,0.9768457802087339,0.03167667669357385
-0.004755833333333333,0.9847986996271689,0.04408172654584698
-0.004754583333333333,0.9910947608334351,0.05581623316287278
-0.004753333333333333,0.9957339638275222,0.0675507397798879
-0.004752083333333333,0.9993790518943066,0.07995578963216668
-0.004750833333333333,1.001035910106481,0.09135502463155798
-0.004749583333333333,1.000704538464047,0.1030895312485784
-0.004748333333333334,0.9993790518943072,0.1144887662479646
-0.004747083333333333,0.997059450397262,0.1258880012473611
-0.004745833333333333,0.9927516190456052,0.1372872362467571
-0.004744583333333333,0.9871183011242136,0.1476806563932562
