#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE3681
#Date Time: 2020-09-21 11:20:35.431
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / C2
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.001819755,0.9040829074339434,0.3748716820424265,2.411712996052934
-0.001819125,0.9077332718660136,0.3785537743726142,2.397897824081719
-0.001818495,0.9113836362980872,0.3785537743726158,2.407540745851868
-0.001817865,0.904082907433945,0.3785537743726175,2.388254902311552
-0.001817235,0.9077332718660153,0.3822358667028051,2.374798785096202
-0.001816605,0.9077332718660153,0.3859179590329944,2.352140527848324
-0.001815975,0.9113836362980855,0.3859179590329944,2.361599440932382
-0.001815345,0.9113836362980872,0.3896000513631836,2.339280072241313
-0.001814715,0.9186843651622308,0.3896000513631836,2.358019106896464
-0.001814085,0.9223347295943011,0.385917959032996,2.389976180184559
-0.001813455,0.9186843651622308,0.3896000513631836,2.358019106896464
-0.001812825,0.9259850940263745,0.3932821436933729,2.354505814401606
-0.001812195,0.9259850940263745,0.3932821436933729,2.354505814401606
-0.001811565,0.9259850940263745,0.3932821436933729,2.354505814401606
-0.001810935,0.9296354584584464,0.3969642360235605,2.341861996865811
-0.001810305,0.9296354584584464,0.3932821436933729,2.363787609902899
-0.001809675,0.9296354584584464,0.4006463283537514,2.320339393295583
-0.001809045,0.9332858228905165,0.3969642360235638,2.351057697890741
-0.001808415,0.9296354584584464,0.4043284206839406,2.299208788949152
-0.001807785,0.9369361873225884,0.4080105130141283,2.296353053261019
-0.001807155,0.9332858228905182,0.4043284206839406,2.308237005234065
-0.001806525,0.9332858228905182,0.4006463283537514,2.329450582326245
-0.001805895,0.9332858228905199,0.404328420683944,2.30823700523405
-0.001805265,0.9369361873225901,0.4116926053443192,2.275814953098279
-0.001804635,0.940586551754662,0.4080105130141299,2.305299794375858
-0.001804005,0.940586551754662,0.4080105130141299,2.305299794375858
-0.001803375,0.940586551754662,0.4043284206839406,2.326293437803891
-0.001802745,0.9405865517546637,0.4116926053443192,2.284681676436729
-0.001802115,0.9442369161867338,0.4116926053443192,2.29354839977517
-0.001801485,0.9478872806188057,0.4190567900046977,2.261954234432473
-0.001800855,0.9442369161867354,0.4190567900046944,2.253243328132585
-0.001800225,0.9478872806188057,0.4116926053443192,2.302415123113615
-0.001799595,0.9478872806188057,0.4153746976745085,2.28200534583736
-0.001798965,0.9515376450508758,0.4153746976745085,2.290793470035841
-0.001798335,0.9588383739150212,0.4190567900046977,2.288086953332202
-0.001797705,0.9588383739150212,0.4190567900046977,2.288086953332202
-0.001797075,0.962488738347093,0.4190567900046977,2.296797859632112
-0.001796445,0.9661391027791649,0.422738882334887,2.28542758461902
-0.001795815,0.962488738347093,0.4264209746650746,2.25713272923093
-0.001795185,0.962488738347093,0.422738882334887,2.276792551068498
-0.001794555,0.9588383739150212,0.422738882334887,2.268157517517976
-0.001793925,0.9588383739150212,0.4264209746650746,2.248572258126199
-0.001793295,0.9588383739150212,0.4264209746650762,2.24857225812619
-0.001792665,0.962488738347093,0.4337851593254547,2.218814354653773
-0.001792035,0.962488738347093,0.4301030669952655,2.237809521032055
-0.001791405,0.9661391027791649,0.4337851593254547,2.227229498310943
-0.001790775,0.9624887383470964,0.4301030669952638,2.237809521032072
-0.001790145,0.9697894672112368,0.4264209746650762,2.274253671440384
-0.001789515,0.9661391027791649,0.4301030669952655,2.24629670634225
-0.001788885,0.9734398316433053,0.4337851593254531,2.244059785625283
-0.001788255,0.9734398316433086,0.437467251655644,2.225171891059767
-0.001787625,0.9770901960753805,0.437467251655644,2.2335162057902
-0.001786995,0.9734398316433103,0.4337851593254564,2.244059785625277
-0.001786365,0.9697894672112368,0.437467251655644,2.216827576329335
-0.001785735,0.9770901960753822,0.4411493439858349,2.214873963649725
-0.001785105,0.9807405605074523,0.4448314363160226,2.204746518433339
-0.001784475,0.9843909249395242,0.4411493439858333,2.231423299976926
-0.001783845,0.980740560507454,0.4337851593254581,2.260890072939607
-0.001783215,0.9734398316433086,0.4301030669952655,2.263271076962639
-0.001782585,0.9770901960753805,0.4337851593254547,2.252474929282451
-0.001781955,0.9770901960753805,0.4337851593254547,2.252474929282451
-0.001781325,0.9770901960753805,0.4411493439858333,2.21487396364973
-0.001780695,0.9807405605074506,0.4448314363160226,2.204746518433335
-0.001780065,0.9770901960753805,0.4448314363160226,2.196540343837624
-0.001779435,0.9807405605074523,0.4448314363160226,2.204746518433339
-0.001778805,0.9807405605074523,0.4448314363160226,2.204746518433339
-0.001778175,0.9843909249395242,0.4485135286462118,2.194785356666495
-0.001777545,0.9807405605074523,0.4448314363160226,2.204746518433339
-0.001776915,0.9770901960753822,0.4411493439858349,2.214873963649725
-0.001776285,0.9843909249395242,0.4448314363160226,2.212952693029054
-0.001775655,0.9880412893715944,0.4448314363160242,2.221158867624756
-0.001775025,0.9843909249395242,0.4485135286462118,2.194785356666495
