#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE3681
#Date Time: 2020-09-23 10:20:32.994
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44198 V
#Offset: -0.00025017 V
#Relative: no
#Channel: Channel 2
#Range: 5.4844 V
#Offset: 0.000101632 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.02211680175238877,-0.003157722830730522,-0.2359056262271615
1047.128548050901,0.02243565713244959,-0.003206764147544576,-0.2455223179474757
1096.478196143186,0.02183033688535702,-0.003320047538698629,-0.2569879418610128
1148.153621496884,0.02190027656478997,-0.003538139987520204,-0.2706788333374277
1202.264434617413,0.02178027530981014,-0.003551658666997663,-0.2827698414540123
1258.925411794169,0.02162268108733404,-0.003576343361131877,-0.2962146367143106
1318.256738556409,0.02209246191491665,-0.003828108078751434,-0.3098711430595529
1380.384264602885,0.02170357823647408,-0.003406907188110075,-0.3229750613443798
1445.43977074593,0.02279410175176305,-0.003550656830818771,-0.3386654070252746
1513.56124843621,0.02232283608784394,-0.003886340729974379,-0.3558165913185434
1584.893192461114,0.02183010840305689,-0.003711537223285578,-0.3739864641440391
1659.586907437563,0.02159122128678995,-0.00403277418270033,-0.3894598013849873
1737.800828749376,0.02223785297103568,-0.003620581543579621,-0.4091872085872801
1819.700858609985,0.02246020149185376,-0.003826516737340908,-0.4259586785017575
1905.46071796325,0.02242203469618589,-0.004094395380291277,-0.446524158699745
1995.262314968881,0.02234358833362157,-0.004395552430132611,-0.46769409361643
2089.296130854041,0.02301447793524854,-0.004179867645991127,-0.4882816983930685
2187.761623949555,0.02254448461145433,-0.00414139065870092,-0.5124256817910151
2290.867652767775,0.02250825037229163,-0.004083908428919825,-0.5369466564755889
2398.832919019493,0.0231038091970444,-0.004921588205107902,-0.5632750104832809
2511.886431509583,0.02372347451590736,-0.004677816411848564,-0.5860514401124775
2630.267991895385,0.02321613858015561,-0.004428328300803188,-0.6148162668637127
2754.228703338169,0.02273790190608558,-0.004390348549581084,-0.6442418614718353
2884.031503126609,0.02375912955952905,-0.004986491246061615,-0.6759933040731596
3019.951720402019,0.02288979242328363,-0.004887595896691456,-0.7074165719993282
3162.277660168383,0.02398476842961592,-0.005456551092223962,-0.7406717767673285
3311.311214825915,0.02475677665868446,-0.005435867117502751,-0.7725812549811053
3467.368504525317,0.02465632124824737,-0.005465616583690912,-0.8097642742800701
3630.780547701018,0.02452180028408781,-0.005430029308467125,-0.8495940600759155
3801.893963205617,0.02556042872420485,-0.006378003340860763,-0.8906003830056051
3981.071705534974,0.02493232159803279,-0.00630068876336801,-0.9308648691594499
4168.69383470336,0.02506940760173597,-0.006425489908123165,-0.9715435974708555
4365.158322401666,0.02660801313835433,-0.006140495601909553,-1.02173849631987
4570.881896148752,0.0258862701154513,-0.006640376367365166,-1.068908648276107
4786.30092322639,0.02697798509859137,-0.007062460009087165,-1.116291684476657
5011.872336272731,0.02753043126692183,-0.007204976429668847,-1.169265642529353
5248.074602497729,0.02596517233781631,-0.007165237899404431,-1.224291940246303
5495.408738576255,0.02818652450640238,-0.007496694624300086,-1.283503223352945
5754.399373371579,0.0280659864724687,-0.00758177702369096,-1.346804392923246
6025.595860743581,0.02919503305856991,-0.007923539415727198,-1.410455306334997
6309.573444801938,0.02899516215591567,-0.008339829768305135,-1.476076408920839
6606.934480075965,0.03041203528263618,-0.008313294780142123,-1.545330414831994
6918.309709189371,0.02311762813002609,-0.008730540578042557,-1.618279079849756
7244.359600749907,0.03096086674587251,-0.008744037353637994,-1.69780427065416
7585.775750291845,0.03274892447441195,-0.009341561888825624,-1.778276161111421
7943.282347242822,0.03311070662893953,-0.009572238258963726,-1.862506761422722
8317.637711026719,0.03126727127130229,-0.00966984617730058,-1.957045433877681
8709.635899560815,0.02844720614142681,-0.01007468783898029,-2.053847607025807
9120.108393559107,0.02734929789611118,-0.01103932687112599,-2.155125489568505
9549.925860214371,0.02810174603958535,-0.01131089339332727,-2.255240987314195
10000,0.03199647909873886,-0.01169803185581359,-2.369768336787509
10471.28548050901,0.03645168773422496,-0.0123583798933891,-2.488014928401213
10964.78196143186,0.03746275919803046,-0.01291122539562433,-2.615023829016025
11481.53621496883,0.03789804171695481,-0.01281325426039057,-2.745124332658342
12022.64434617414,0.03890681244024594,-0.01357753419530756,-2.890222016563797
12589.25411794168,0.02343879607961694,-0.01439513148022866,-3.036267818545667
13182.56738556408,0.04085284420193964,-0.01540453510257052,-3.200264069190958
13803.84264602886,0.04174859688680799,-0.01712265998768086,-3.366713054043231
14454.39770745929,0.03481818622162244,-0.01790790573320833,-3.548760697748037
15135.61248436209,0.04338490144789796,-0.01895054899582362,-3.744417629186671
15848.93192461115,0.04352562587833008,-0.02120336815044247,-3.960471662603567
16595.86907437562,0.04371311802558641,-0.02322906330337849,-4.187437640458342
17378.00828749377,0.04529155290913341,-0.0252143514676024,-4.426190545467762
18197.00858609984,0.04154222767961302,-0.02767418279462674,-4.700311653089585
19054.6071796325,0.04660444395937681,-0.03034780277292759,-4.991177730477176
19952.62314968881,0.04485902931270536,-0.0344543290386293,-5.312349117957225
20892.9613085404,0.04821905862942652,-0.03896952664248007,-5.675576211596358
