#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE3681
#Date Time: 2020-09-23 10:21:12.901
#Start: 1000 Hz
#Stop: 1e+06 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44198 V
#Offset: -0.00025017 V
#Relative: no
#Channel: Channel 2
#Range: 5.4844 V
#Offset: 0.000101632 V
#Relative: yes
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000001,0.02215301123589911,-6.017203905615456,-0.1396398063707487
1047.128548050901,0.02328424054527666,-6.017866543456414,-0.1389096814929527
1096.478196143186,0.02252263564763328,-6.018060731323084,-0.1503366888189248
1148.153621496884,0.02314280177463818,-6.017653906748595,-0.1551569694955539
1202.264434617413,0.02269639821435051,-6.017797572159422,-0.1617938111471631
1258.925411794169,0.02336654751786029,-6.01778414286203,-0.1697278818013359
1318.256738556409,0.02336537116809037,-6.0180768869402,-0.1817658758620837
1380.384264602885,0.02350965530205579,-6.017732512857565,-0.182068425135526
1445.43977074593,0.0231794977387616,-6.018055037896247,-0.1957268614552277
1513.56124843621,0.02375397512557826,-6.01779811419622,-0.2020180158148435
1584.893192461114,0.0229291224039824,-6.018178271946915,-0.2179738978634163
1659.586907437563,0.02262409894840829,-6.018315978222057,-0.2250235991837144
1737.800828749376,0.02318073262277344,-6.017748355647624,-0.2384405827600347
1819.700858609985,0.02216082936610256,-6.018303662796587,-0.2457960281597025
1905.46071796325,0.02262731456529226,-6.017526384481206,-0.2621166839575721
1995.262314968881,0.02363173694627871,-6.018779318661053,-0.2698147655706009
2089.296130854041,0.02319678309696947,-6.018316590415902,-0.2802364845090892
2187.761623949555,0.02313930959436757,-6.018097842964986,-0.294053155765674
2290.867652767775,0.02377418847404078,-6.01875202335807,-0.3072608483777515
2398.832919019493,0.02342069756777175,-6.018618019662297,-0.3289609730133236
2511.886431509583,0.02379205623206307,-6.019503188402675,-0.3359022209779425
2630.267991895385,0.02498646759818028,-6.019052751702692,-0.3530482284016365
2754.228703338169,0.02401718469261599,-6.019048574846705,-0.3716582165441302
2884.031503126609,0.02358447913735175,-6.018880448156771,-0.3830645535133141
3019.951720402019,0.02379170478150668,-6.019150111798901,-0.4032651866104544
3162.277660168383,0.02400909811457217,-6.019931307945008,-0.4236155737200988
3311.311214825915,0.02390952371396109,-6.019683804245471,-0.4405263984064618
3467.368504525317,0.02579913108578934,-6.020076199644688,-0.4639711225706264
3630.780547701018,0.02509733531506839,-6.019841648469876,-0.4812437891754087
3801.893963205617,0.02618472475453823,-6.020971847829006,-0.5045741799806613
3981.071705534974,0.0249520864784426,-6.021250050434718,-0.5292651195156566
4168.69383470336,0.02623566677995837,-6.020676782297522,-0.5529249535805434
