waveform	Ch0		Gen	
t0	9/18/2019  11:21:44.973290		9/18/2019  11:21:44.973290	
delta t	8.000000E-7		8.000000E-7	

time[0]	Ch0	time[1]	Gen
9/18/2019  11:21:44.973290	-5.030969E-1	9/18/2019  11:21:44.973290	-1.566795E-4
9/18/2019  11:21:44.973290	-5.030969E-1	9/18/2019  11:21:44.973290	2.671170E-4
9/18/2019  11:21:44.973291	-5.116185E-1	9/18/2019  11:21:44.973291	2.671170E-4
9/18/2019  11:21:44.973292	-5.116185E-1	9/18/2019  11:21:44.973292	-1.566795E-4
9/18/2019  11:21:44.973293	-5.030969E-1	9/18/2019  11:21:44.973293	2.671170E-4
9/18/2019  11:21:44.973294	-5.030969E-1	9/18/2019  11:21:44.973294	2.671170E-4
9/18/2019  11:21:44.973294	-5.030969E-1	9/18/2019  11:21:44.973294	-1.566795E-4
9/18/2019  11:21:44.973295	-5.030969E-1	9/18/2019  11:21:44.973295	2.671170E-4
9/18/2019  11:21:44.973296	-5.030969E-1	9/18/2019  11:21:44.973296	2.671170E-4
9/18/2019  11:21:44.973297	-5.116185E-1	9/18/2019  11:21:44.973297	2.671170E-4
9/18/2019  11:21:44.973298	-5.030969E-1	9/18/2019  11:21:44.973298	2.671170E-4
9/18/2019  11:21:44.973298	-5.030969E-1	9/18/2019  11:21:44.973298	-1.566795E-4
9/18/2019  11:21:44.973299	-5.030969E-1	9/18/2019  11:21:44.973299	2.671170E-4
9/18/2019  11:21:44.973300	-5.116185E-1	9/18/2019  11:21:44.973300	1.538507E-3
9/18/2019  11:21:44.973301	-4.945752E-1	9/18/2019  11:21:44.973301	-1.566795E-4
9/18/2019  11:21:44.973302	-5.116185E-1	9/18/2019  11:21:44.973302	-5.804761E-4
9/18/2019  11:21:44.973302	-5.116185E-1	9/18/2019  11:21:44.973302	2.671170E-4
9/18/2019  11:21:44.973303	-5.116185E-1	9/18/2019  11:21:44.973303	-1.566795E-4
9/18/2019  11:21:44.973304	-5.030969E-1	9/18/2019  11:21:44.973304	2.671170E-4
9/18/2019  11:21:44.973305	-5.116185E-1	9/18/2019  11:21:44.973305	-1.566795E-4
9/18/2019  11:21:44.973306	-5.030969E-1	9/18/2019  11:21:44.973306	6.909135E-4
