#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AE36B6
#Date Time: 2020-09-20 22:52:06.648
#Sample rate: 160000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 - C2
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 60 Hz
#Period: 16.6666667 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: Sine
#Frequency: 60 Hz
#Period: 16.6666667 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 180 °

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.02559910714285715,0.226951753378445,-0.2268177404985111,0.4537694938769562
-0.02559285714285714,0.2249635235238346,-0.2244708391751063,0.4494343626989409
-0.02558660714285714,0.2233066653116606,-0.2227944810869613,0.4461011463986219
-0.02558035714285714,0.2213184354570509,-0.2214533946164446,0.4427718300734956
-0.02557410714285714,0.2183360906751364,-0.2191064932930405,0.4374425839681769
-0.02556785714285715,0.2160164891780918,-0.2164243203520073,0.4324408095300991
-0.02556160714285714,0.2133655160386111,-0.2140774190286021,0.4274429350672133
-0.02555535714285714,0.2110459145415676,-0.2117305177051991,0.4227764322467666
-0.02554910714285714,0.2090576846869579,-0.209383616381795,0.4184413010687529
-0.02554285714285714,0.2067380831899133,-0.2070367150583909,0.4137747982483042
-0.02553660714285715,0.2034243667655638,-0.2043545421173577,0.4077789088829215
-0.02553035714285714,0.2014361369109535,-0.2020076407939524,0.4034437777049059
-0.02552410714285714,0.2001106503412143,-0.1993254678529203,0.3994361181941347
-0.02551785714285714,0.1981224204866046,-0.198654924617662,0.3967773451042667
-0.02551160714285714,0.1951400757046901,-0.1959727516766288,0.3911128273813189
-0.02550535714285715,0.1931518458500804,-0.1932905787355955,0.386442424585676
-0.02549910714285714,0.1908322443530346,-0.1912789490298194,0.3821111933828539
-0.02549285714285714,0.1881812712135562,-0.1885967760887873,0.3767780473023435
-0.02548660714285714,0.1855302980740766,-0.1859146031477541,0.3714449012218307
-0.02548035714285714,0.1828793249345971,-0.18356770182435,0.3664470267589471
-0.02547410714285715,0.1805597234375524,-0.1815560721185751,0.3621157955561275
-0.02546785714285714,0.1779087502980723,-0.1782033559422826,0.3561121062403549
-0.02546160714285714,0.1765832637283331,-0.1761917262365086,0.3527749899648416
-0.02545535714285714,0.1752577771585933,-0.1748506397659919,0.3501084169245853
-0.02544910714285714,0.1722754323766788,-0.1721684668249587,0.3444438992016375
-0.02544285714285715,0.1702872025220691,-0.1698215655015546,0.3401087680236237
-0.02543660714285714,0.1673048577401537,-0.1674746641781493,0.334779521918303
-0.02543035714285714,0.1653166278855449,-0.1647924912371173,0.3301091191226622
-0.02542410714285714,0.1626656547460653,-0.1627808615313423,0.3254465162774076
-0.02541785714285714,0.1603460532490207,-0.1600986885903091,0.3204447418393297
-0.02541160714285715,0.1570323368246712,-0.157751787266905,0.3147841240915762
-0.02540535714285714,0.1553754786124959,-0.155069614325871,0.3104450929383668
-0.02539910714285714,0.1540499920427567,-0.153393256237726,0.3074432482804826
-0.02539285714285714,0.1513990189032771,-0.1517168981495802,0.3031159170528573
-0.02538660714285714,0.1487480457637975,-0.1497052684438052,0.2984533142076028
-0.02538035714285715,0.145765700981883,-0.1466878238851428,0.2924535248670259
-0.02537410714285715,0.1437774711272742,-0.1446761941793688,0.288453665306643
-0.02536785714285714,0.1411264979877938,-0.1423292928559638,0.2834557908437575
-0.02536160714285714,0.1384755248483142,-0.1393118482973014,0.2777873731456156
-0.02535535714285714,0.1364872949937045,-0.1376354902091556,0.2741227852028601
-0.02534910714285715,0.1338363218542249,-0.1342827740328641,0.268119095887089
-0.02534285714285715,0.1315167203571813,-0.13227114432709,0.2637878646842713
-0.02533660714285714,0.1298598621450056,-0.129924243003685,0.2597841051486905
-0.02533035714285714,0.1275402606479609,-0.1285831565331684,0.2561234171811293
-0.02532410714285714,0.1252206591509163,-0.1262362552097643,0.2514569143606806
-0.02531785714285715,0.1229010576538716,-0.1238893538863602,0.2467904115402318
-0.02531160714285715,0.1202500845143933,-0.1212071809453282,0.2414572654597215
-0.02530535714285714,0.1182618546597824,-0.1188602796219229,0.2371221342817053
-0.02529910714285714,0.1152795098778679,-0.1161781066808896,0.2314576165587575
-0.02529285714285714,0.1129599083808232,-0.1134959337398564,0.2264558421206797
-0.02528660714285715,0.1106403068837786,-0.1114843040340814,0.2221246109178601
-0.02528035714285715,0.1079893337443002,-0.1081315878577914,0.2161209216020916
-0.02527410714285714,0.1066638471745592,-0.1064552297696441,0.2131190769442033
-0.02526785714285714,0.1043442456775146,-0.1051141432991275,0.2094583889766421
-0.02526160714285714,0.1013619008956001,-0.1027672419757234,0.2041291428713235
-0.02525535714285715,0.09970504268342535,-0.1004203406523193,0.2001253833357446
-0.02524910714285715,0.09672269790151219,-0.09807343932891628,0.1947961372304285
-0.02524285714285714,0.0944030964044662,-0.09505599477025281,0.189459091174719
-0.02523660714285714,0.09208349490742157,-0.09237382182921955,0.1844573167366411
-0.02523035714285714,0.089432521767942,-0.08969164888818629,0.1791241706561283
-0.02522410714285715,0.08678154862846242,-0.08801529080004053,0.1747968394285029
-0.02521785714285715,0.08446194713141884,-0.08533311785900849,0.1697950649904273
-0.02521160714285714,0.08346783220411295,-0.08332148815323234,0.1667893203573453
-0.02520535714285714,0.08081685906463337,-0.08164513006508656,0.1624619891297199
-0.02519910714285714,0.07816588592515381,-0.0789629571240533,0.1571288430492071
-0.02519285714285715,0.07551491278567422,-0.0766160558006492,0.1521309685863234
-0.02518660714285715,0.07385805457350024,-0.07393388285961719,0.1477919374331174
-0.02518035714285714,0.07087570979158496,-0.07158698153621187,0.1424626913277968
-0.02517410714285714,0.06855610829454034,-0.06856953697754947,0.1371256452720898
-0.02516785714285714,0.06590513515506076,-0.06689317888940369,0.1327983140444645
-0.02516160714285715,0.06325416201558118,-0.06421100594837043,0.1274651679639516
-0.02515535714285715,0.06060318887610282,-0.06152883300733841,0.1221320218834412
-0.02514910714285714,0.05927770230636183,-0.0591819316839331,0.1184596339902949
-0.02514285714285714,0.05728947245175214,-0.05851138844867478,0.1158008609004269
-0.02513660714285714,0.05397575602740266,-0.05549394389001238,0.109469699917415
-0.02513035714285715,0.05231889781522793,-0.05281177094897913,0.1051306687642071
-0.02512410714285715,0.04933655303331477,-0.05080014124320511,0.1001366942765199
-0.02511785714285714,0.04734832317870373,-0.0484532399198001,0.09580156309850382
-0.02511160714285714,0.04469735003922415,-0.04610633859639601,0.09080368863562016
-0.02510535714285714,0.04171500525730963,-0.04342416565536276,0.0851391709126724
-0.02509910714285715,0.039395403760265,-0.04040672109670036,0.07980212485696536
-0.02509285714285715,0.03707580226322142,-0.03772454815566833,0.07480035041888974
-0.02508660714285714,0.03608168733591553,-0.03571291844989217,0.07179460578580771
-0.02508035714285714,0.0337620858388709,-0.0347071035970047,0.0684691894358756
-0.02507410714285714,0.03111111269939132,-0.03236020227360061,0.06347131497299194
-0.02506785714285715,0.02879151120234669,-0.02967802933256736,0.05846954053491406
-0.02506160714285715,0.02614053806286832,-0.02699585639153533,0.05313639445440366
-0.02505535714285714,0.02348956492338754,-0.02431368345050086,0.0478032483738884
-0.02504910714285714,0.02116996342634291,-0.02196678212709677,0.04313674555343969
-0.02504285714285714,0.01851899028686333,-0.01961988080369268,0.03813887109055601
-0.02503660714285715,0.01619938878981871,-0.01693770786265943,0.03313709665247813
-0.02503035714285715,0.01387978729277408,-0.01425553492162618,0.02813532221440026
-0.02502410714285714,0.01288567236546924,-0.01291444845110955,0.02580012081657879
-0.02501785714285714,0.01023469922598966,-0.01090281874533462,0.02113751797132428
-0.02501160714285714,0.007915097728945029,-0.008220645804301371,0.0161357435332464
-0.02500535714285715,0.005264124589465453,-0.005873744480897277,0.01113786907036273
-0.02499910714285715,0.002944523092420824,-0.003526843157493184,0.006471366249914008
-0.02499285714285714,0.0009562932378111414,-0.001515213451718248,0.002471506689529389
-0.02498660714285714,-0.002026051544103382,0.001166959489315001,-0.003193011033418383
-0.02498035714285714,-0.005008396326017905,0.004184404047977406,-0.009192800373995311
-0.02497410714285715,-0.007327997823062535,0.005860762136123186,-0.01318875995918572
-0.02496785714285715,-0.00997897096254211,0.008542935077156436,-0.01852190603969855
-0.02496160714285714,-0.0113044575322819,0.01088983640056053,-0.02219429393284243
-0.02495535714285714,-0.01329268738689158,0.011895651253448,-0.02518833864033958
-0.02494910714285714,-0.01627503216880611,0.01457782419448124,-0.03085285636328735
-0.02494285714285715,-0.01859463366585073,0.01692472551788534,-0.03551935918373607
-0.02493660714285715,-0.02124560680533031,0.01994217007654774,-0.04118777688187805
-0.02493035714285714,-0.02422795158724544,0.02161852816469475,-0.04584647975194018
-0.02492410714285714,-0.02555343815698462,0.02430070110572677,-0.04985413926271139
-0.02491785714285714,-0.02919852622376904,0.02698287404676002,-0.05618140027052906
-0.02491160714285715,-0.03151812772081367,0.02966504698779327,-0.06118317470860693
-0.02490535714285715,-0.03416910086029325,0.0316766766935682,-0.06584577755386145
-0.02489910714285714,-0.0348318441451642,0.03402357801697291,-0.06885542216213711
-0.02489285714285714,-0.03715144564220776,0.03536466448748892,-0.07251611012969669
-0.02488660714285714,-0.0394710471392524,0.03804683742852217,-0.07751788456777456
-0.02488035714285715,-0.04245339192116693,0.04039373875192626,-0.08284713067309318
-0.02487410714285715,-0.04444162177577661,0.04307591169295951,-0.08751753346873611
-0.02486785714285714,-0.04676122327282289,0.04575808463399383,-0.0925193079068167
-0.02486160714285714,-0.05040631133960564,0.04810498595739685,-0.0985112972970025
-0.02485535714285714,-0.05239454119421533,0.05011661566317179,-0.1025111568573871
-0.02484910714285715,-0.05504551433369491,0.05313406022183419,-0.1081795745555291
-0.02484285714285715,-0.05703374418830459,0.05548096154523829,-0.1125147057335429
-0.02483660714285714,-0.05835923075804573,0.05682204801575583,-0.1151812787738016
-0.02483035714285714,-0.06134157553995891,0.05883367772152985,-0.1201752532614888
-0.02482410714285714,-0.06332980539456859,0.0615158506625631,-0.1248456560571317
-0.02481785714285714,-0.06564940689161322,0.06352748036833802,-0.1291768872599512
-0.02481160714285715,-0.06796900838865785,0.06654492492700043,-0.1345139333156583
-0.02480535714285714,-0.07095135317057373,0.06855655463277691,-0.1395079078033507
-0.02479910714285714,-0.0739336979524869,0.07190927080906695,-0.1458429687615538
-0.02479285714285714,-0.07592192780709657,0.07425617213247102,-0.1501780999395676
-0.02478660714285714,-0.07857290094657615,0.07626780183824597,-0.1548407027848221
-0.02478035714285715,-0.08056113080118583,0.07962051801453754,-0.1601816488157234
-0.02477410714285714,-0.08221798901336162,0.08163214772031277,-0.1638501367336744
-0.02476785714285714,-0.0845375905104052,0.08230269095557077,-0.166840281465976
-0.02476160714285714,-0.08718856364988478,0.08532013551423318,-0.172508699164118
-0.02475535714285714,-0.0895081651469294,0.08733176522000813,-0.1768399303669375
-0.02474910714285715,-0.09249050992884393,0.09001393816104136,-0.1825044480898853
-0.02474285714285714,-0.09481011142588977,0.09236083948444668,-0.1871709509103364
-0.02473660714285714,-0.09746108456536813,0.09504301242547872,-0.1925040969908469
-0.02473035714285714,-0.09978068606241276,0.09738991374888281,-0.1971705998112956
-0.02472410714285714,-0.1024316592018923,0.100072086689916,-0.2025037458918084
-0.02471785714285715,-0.104751260698937,0.1017484447780618,-0.2064997054769988
-0.02471160714285714,-0.1064081189111126,0.1040953461014668,-0.2105034650125795
-0.02470535714285714,-0.1083963487657214,0.1061069758072408,-0.2145033245729622
-0.02469910714285714,-0.110715950262766,0.1081186055130158,-0.2188345557757818
-0.02469285714285714,-0.1136982950446805,0.110800778454049,-0.2244990734987296
-0.02468660714285715,-0.1163492681841601,0.1134829513950823,-0.2298322195792424
-0.02468035714285714,-0.1186688696812058,0.1161651243361166,-0.2348339940173224
-0.02467410714285714,-0.1209884711782494,0.1185120256595196,-0.239500496837769
-0.02466785714285714,-0.1226453293904241,0.1211941986005529,-0.243839527990977
-0.02466160714285714,-0.1256276741723386,0.1238763715415861,-0.2495040457139247
-0.02465535714285715,-0.1279472756693832,0.1262232728649902,-0.2541705485343735
-0.02464910714285714,-0.1286100189542545,0.1275643593355078,-0.2561743782897623
-0.02464285714285714,-0.1315923637361677,0.1295759890412818,-0.2611683527774494
-0.02463660714285714,-0.1339119652332123,0.132258161982315,-0.2661701272155274
-0.02463035714285714,-0.1368943100151268,0.1346050633057191,-0.2714993733208459
-0.02462410714285715,-0.1392139115121714,0.1372872362467524,-0.2765011477589238
-0.02461785714285714,-0.1415335130092173,0.1396341375701577,-0.281167650579375
-0.02461160714285714,-0.1441844861486957,0.1423163105111897,-0.2865007966598854
-0.02460535714285714,-0.1465040876457403,0.1439926685993355,-0.2904967562450758
-0.02459910714285714,-0.1491550607852199,0.1466748415403687,-0.2958299023255886
-0.02459285714285715,-0.1514746622822645,0.149357014481402,-0.3008316767636665
-0.02458660714285715,-0.1524687772095689,0.1517039158048051,-0.3041726930143739
-0.02458035714285714,-0.154788378706614,0.1530450022753227,-0.3078333809819367
-0.02457410714285714,-0.1574393518460935,0.155727175216356,-0.3131665270624495
-0.02456785714285714,-0.1597589533431382,0.1580740765397601,-0.3178330298828982
-0.02456160714285715,-0.1624099264826177,0.1607562494807933,-0.323166175963411
-0.02455535714285715,-0.1647295279796613,0.1631031508041964,-0.3278326787838577
-0.02454910714285714,-0.1677118727615769,0.1651147805099723,-0.3328266532715493
-0.02454285714285714,-0.1700314742586215,0.1677969534510056,-0.3378284277096271
-0.02453660714285714,-0.1720197041132312,0.1704791263920388,-0.34249883050527
-0.02453035714285715,-0.1743393056102758,0.1724907560978138,-0.3468300617080896
-0.02452410714285715,-0.1759961638224498,0.1741671141859588,-0.3501632780084086
-0.02451785714285714,-0.1783157653194952,0.1758434722741053,-0.3541592375936005
-0.02451160714285714,-0.1806353668165398,0.1781903735975094,-0.3588257404140492
-0.02450535714285714,-0.1829549683135845,0.1812078181561718,-0.3641627864697563
-0.02449910714285715,-0.185605941453064,0.1835547194795759,-0.3691606609326399
-0.02449285714285715,-0.1882569145925424,0.1855663491853499,-0.3738232637778924
-0.02448660714285714,-0.1905765160895882,0.1882485221263841,-0.3788250382159724
-0.02448035714285714,-0.1928961175866329,0.1905954234497882,-0.383491541036421
-0.02447410714285714,-0.1955470907261125,0.1929423247731923,-0.3884894154993047
-0.02446785714285715,-0.1978666922231571,0.1956244977142255,-0.3934911899373826
-0.02446160714285715,-0.1991921787928962,0.1973008558023706,-0.3964930345952668
-0.02445535714285714,-0.2018431519323765,0.1993124855081463,-0.4011556374405227
-0.02444910714285714,-0.2041627534294211,0.2016593868315504,-0.4058221402609714
-0.02444285714285714,-0.2061509832840308,0.2043415597725836,-0.4104925430566144
-0.02443660714285715,-0.2091333280659453,0.2066884610959877,-0.415821789161933
-0.02443035714285715,-0.2117843012054237,0.2090353624193907,-0.4208196636248143
-0.02442410714285714,-0.2137725310600345,0.2113822637427959,-0.4251547948028304
-0.02441785714285714,-0.2164235041995141,0.2143997083014583,-0.4308232125009724
-0.02441160714285714,-0.2187431056965587,0.2164113380072332,-0.435154443703792
-0.02440535714285715,-0.2210627071936034,0.2194287825658956,-0.440491489759499
-0.02439910714285715,-0.2223881937633425,0.2214404122716696,-0.4438286060350122
-0.02439285714285714,-0.2240450519755179,0.2221109555069289,-0.4461560074824468
-0.02438660714285714,-0.2273587683998674,0.2251284000655913,-0.4524871684654587
-0.02438035714285714,-0.2300097415393469,0.2271400297713662,-0.4571497713107132
-0.02437410714285715,-0.2326607146788265,0.2291516594771411,-0.4618123741559677
-0.02436785714285715,-0.2343175728910005,0.2318338324181732,-0.4661514053091736
-0.02436160714285714,-0.2369685460304808,0.2341807337415785,-0.4711492797720593
-0.02435535714285714,-0.2392881475275254,0.2368629066826117,-0.4761510542101371
-0.02434910714285714,-0.24227049230944,0.2398803512412742,-0.4821508435507141
-0.02434285714285715,-0.2439273505216147,0.2418919809470491,-0.4858193314686638
-0.02433660714285715,-0.2455842087337887,0.2435683390351941,-0.4891525477689828
-0.02433035714285714,-0.2475724385883991,0.2455799687409698,-0.4931524073293689
-0.02432410714285714,-0.2502234117278788,0.2472563268291156,-0.4974797385569943
-0.02431785714285714,-0.2525430132249233,0.250273771387778,-0.5028167846127014
-0.02431160714285715,-0.2551939863644029,0.2529559443288112,-0.5081499306932142
-0.02430535714285715,-0.2578449595038813,0.2546323024169562,-0.5124772619208375
-0.02429910714285714,-0.2601645610009272,0.2569792037403611,-0.5171437647412882
-0.02429285714285714,-0.2628155341404067,0.2599966482990235,-0.5228121824394303
-0.02428660714285714,-0.2648037639950164,0.2620082780047984,-0.5268120419998148
-0.02428035714285715,-0.2664606222071911,0.2643551793282025,-0.5308158015353936
-0.02427410714285715,-0.2684488520617999,0.2656962657987186,-0.5341451178605184
-0.02426785714285714,-0.2707684535588454,0.2677078955044941,-0.5384763490633395
-0.02426160714285714,-0.2730880550558901,0.269719525210269,-0.5428075802661592
-0.02425535714285714,-0.2750762849104998,0.2724016981513023,-0.5474779830618021
-0.02424910714285715,-0.2783900013348493,0.2750838710923356,-0.5534738724271848
-0.02424285714285715,-0.2807096028318939,0.2774307724157396,-0.5581403752476335
-0.02423660714285714,-0.2826978326865036,0.2797776737391437,-0.5624755064256473
-0.02423035714285714,-0.2850174341835482,0.282459846680177,-0.5674772808637252
-0.02422410714285714,-0.2876684073230277,0.2851420196212102,-0.572810426944238
-0.02421785714285715,-0.2896566371776375,0.2871536493269852,-0.5768102865046226
-0.02421160714285715,-0.2909821237473772,0.2891652790327601,-0.5801474027801372
-0.02420535714285714,-0.2929703536019869,0.2905063655032767,-0.5834767191052637
-0.02419910714285714,-0.2956213267414665,0.29318853844431,-0.5888098651857765
-0.02419285714285714,-0.2979409282385111,0.2952001681500849,-0.593141096388596
-0.02418660714285715,-0.3002605297355557,0.2978823410911182,-0.5981428708266738
-0.02418035714285715,-0.3022487595901655,0.3005645140321514,-0.6028132736223168
-0.02417410714285714,-0.304899732729646,0.3029114153555564,-0.6078111480852024
-0.02416785714285714,-0.3072193342266896,0.3049230450613304,-0.6121423792880201
-0.02416160714285714,-0.3095389357237343,0.3079404896199928,-0.617479425343727
-0.02415535714285715,-0.3115271655783439,0.3096168477081386,-0.6211440132864825
-0.02414910714285715,-0.3128526521480837,0.3112932057962844,-0.6241458579443682
-0.02414285714285714,-0.3155036252875644,0.3129695638844311,-0.6284731891719955
-0.02413660714285714,-0.3178232267846079,0.3149811935902051,-0.6328044203748131
-0.02413035714285714,-0.3201428282816526,0.3176633665312383,-0.6378061948128909
-0.02412410714285715,-0.3221310581362622,0.3206808110899008,-0.6428118692261631
-0.02411785714285715,-0.3251134029181768,0.3230277124133049,-0.6481411153314816
-0.02411160714285714,-0.3274330044152223,0.3257098853543391,-0.6531428897695615
-0.02410535714285714,-0.3294212342698311,0.3280567866777422,-0.6574780209475732
-0.02409910714285714,-0.3317408357668757,0.3300684163835171,-0.6618092521503929
-0.02409285714285715,-0.3333976939790504,0.3320800460892921,-0.6654777400683425
-0.02408660714285715,-0.3350545521912252,0.3337564041774378,-0.6688109563686631
-0.02408035714285714,-0.3373741536882708,0.3354327622655848,-0.6728069159538557
-0.02407410714285714,-0.3396937551853144,0.3381149352066169,-0.6778086903919314
-0.02406785714285714,-0.342013356682359,0.340461836530021,-0.68247519321238
-0.02406160714285714,-0.3443329581794037,0.3424734662357959,-0.6868064244151996
-0.02405535714285715,-0.3466525596764483,0.3448203675592,-0.6914729272356483
-0.02404910714285714,-0.349303532815929,0.3471672688826053,-0.6964708016985341
-0.02404285714285714,-0.3516231343129725,0.3498494418236374,-0.7014725761366098
-0.02403660714285714,-0.3542741074524521,0.3521963431470415,-0.7064704505994936
-0.02403035714285714,-0.3565937089494967,0.3545432444704456,-0.7111369534199423
-0.02402410714285715,-0.3575878238768016,0.3562196025585913,-0.7138074264353929
-0.02401785714285714,-0.3599074253738473,0.3572254174114798,-0.7171328427853271
-0.02401160714285714,-0.3622270268708908,0.3595723187348829,-0.7217993456057736
-0.02400535714285714,-0.3642152567255005,0.3622544916759161,-0.7264697484014166
