#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AE36B6
#Date Time: 2020-09-20 21:06:41.813
#Start: 15420 Hz
#Stop: 17420 Hz
#Steps: 151
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.42919 V
#Offset: -0.00029355 V
#Relative: no
#Channel: Channel 2
#Range: 5.49309 V
#Offset: 0.000174127 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
15420,0.01188681666229834,-21.53702437505492,73.14452274350458
15433.33333333334,0.01064538473453927,-21.41230115590297,72.84664868421258
15446.66666666667,0.009586262493086639,-21.28873051565865,72.62577144759423
15460,0.008638645529337522,-21.17607641903071,72.35284755915785
15473.33333333334,0.007498069646690433,-21.04503363183249,72.01459029123437
15486.66666666667,0.005724572984177683,-20.92322969979786,71.73807565254334
15500,0.004994151141939466,-20.79433489265796,71.45190700524171
15513.33333333334,0.005875874001342332,-20.66594979592149,71.18388021426608
15526.66666666667,0.007880201953346168,-20.54083434071622,70.8126720322404
15540,0.009461405401002992,-20.40290876341074,70.50147462471674
15553.33333333334,0.01233092358214479,-20.26682562017248,70.15399778005769
15566.66666666667,0.01245925699724716,-20.13369216560384,69.86238119460307
15580,0.01422218271550886,-20.0028194977622,69.47016058081954
15593.33333333334,0.01516389642346958,-19.86144781077838,69.08559257874703
15606.66666666667,0.01590551081104082,-19.71998861903683,68.73601372453396
15620,0.01689843583303257,-19.58171019294671,68.32098953104159
15633.33333333334,0.01613332385313408,-19.43495466515554,67.86817329424284
15646.66666666667,0.01879711514234406,-19.2873808810849,67.47832810031321
15660,0.01843294041107815,-19.14093815589445,67.06213280070109
15673.33333333334,0.01783561200076934,-18.98734821968741,66.56065854411668
15686.66666666667,0.01861958254995125,-18.84154613094917,66.13208341001236
15700,0.01942631652738245,-18.68744124176425,65.66955964647957
15713.33333333334,0.01987241393190672,-18.52977729997882,65.1486150785918
15726.66666666667,0.0198646498976747,-18.37215515607447,64.63705389831271
15740,0.02051924724659683,-18.21588799424472,64.10753001233189
15753.33333333334,0.0192656435481466,-18.05632278677878,63.52111220552591
15766.66666666667,0.02073802489137858,-17.89016290148721,62.96514429986554
